x0001,y0001
-0.4892156863,-0.000917915
-0.4882352941,-0.0009200260
-0.487254902,-0.0009256123
-0.4862745098,-0.0009381427
-0.4852941176,-0.0009606375
-0.4843137255,-0.0009954441
-0.4833333333,-0.0010440205
-0.4823529412,-0.0011067096
-0.4813725490,-0.0011825295
-0.4803921569,-0.0012690258
-0.4794117647,-0.0013622679
-0.4784313725,-0.0014570733
-0.4774509804,-0.001547512
-0.4764705882,-0.0016276771
-0.4754901961,-0.0016926286
-0.4745098039,-0.0017393269
-0.4735294118,-0.0017673492
-0.4725490196,-0.0017791578
-0.4715686275,-0.001779794
-0.4705882353,-0.0017759729
-0.4696078431,-0.0017747167
-0.468627451,-0.0017818018
-0.4676470588,-0.0018003648
-0.4666666667,-0.0018300224
-0.4656862745,-0.0018667553
-0.4647058824,-0.0019036416
-0.4637254902,-0.0019323102
-0.4627450980,-0.0019448138
-0.4617647059,-0.0019354786
-0.4607843137,-0.0019023002
-0.4598039216,-0.0018475227
