x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014,x0015,y0015,x0016,y0016,x0017,y0017,x0018,y0018,x0019,y0019,x0020,y0020,x0021,y0021
-0.0392156863,10.0005615711,-0.0392156863,11.9979590511,-0.0392156863,14.0025314858,-0.0392156863,16.0002076064,-0.0392156863,17.9940932141,-0.0392156863,20.0082397966,-0.0392156863,21.9934441794,-0.0392156863,24.0025845952,-0.0392156863,26.0000018627,-0.0392156863,28.0024952672,-0.0392156863,29.9895925205,-0.0392156863,31.9998790253,-0.0392156863,34.0020239693,-0.0392156863,36.0043487988,-0.0392156863,38.0424162376,-0.0392156863,40.0085539679,-0.0392156863,41.9588425213,-0.0392156863,44.0040512110,-0.0392156863,46.0106582052,-0.0392156863,48.0157640044,-0.0392156863,50.0090518269,-0.0392156863,8.001439592
-0.0382352941,10.0001556227,-0.0382352941,11.9982268796,-0.0382352941,14.0019418701,-0.0382352941,15.9991665825,-0.0382352941,17.9938679915,-0.0382352941,20.0071890228,-0.0382352941,21.9936415612,-0.0382352941,24.0034212906,-0.0382352941,26.0013396327,-0.0382352941,28.0013497810,-0.0382352941,29.9883524025,-0.0382352941,32.0020980367,-0.0382352941,34.0067189664,-0.0382352941,36.0067546163,-0.0382352941,38.0427732121,-0.0382352941,40.0089347708,-0.0382352941,41.9625251623,-0.0382352941,44.0029082467,-0.0382352941,46.0129411457,-0.0382352941,48.0125986984,-0.0382352941,50.0079576367,-0.0382352941,7.9986639033
-0.037254902,9.9996041884,-0.037254902,11.9986743823,-0.037254902,14.0014405637,-0.037254902,15.9982949968,-0.037254902,17.9939236032,-0.037254902,20.0061661765,-0.037254902,21.9937790894,-0.037254902,24.0043684393,-0.037254902,26.0028469345,-0.037254902,27.9999866002,-0.037254902,29.9875625101,-0.037254902,32.0039293162,-0.037254902,34.0111118673,-0.037254902,36.0080622987,-0.037254902,38.0426921716,-0.037254902,40.010077401,-0.037254902,41.9670757769,-0.037254902,44.0005708728,-0.037254902,46.0144452293,-0.037254902,48.0087457927,-0.037254902,50.0060900056,-0.037254902,7.9969300087
-0.0362745098,9.9989412417,-0.0362745098,11.9992297965,-0.0362745098,14.0010916261,-0.0362745098,15.9976622764,-0.0362745098,17.9941926427,-0.0362745098,20.0053115159,-0.0362745098,21.9937688142,-0.0362745098,24.0052740968,-0.0362745098,26.0043496134,-0.0362745098,27.9985783379,-0.0362745098,29.9871945453,-0.0362745098,32.0051678046,-0.0362745098,34.0149634237,-0.0362745098,36.0082405977,-0.0362745098,38.0422619792,-0.0362745098,40.0120354279,-0.0362745098,41.9721725878,-0.0362745098,43.9971589308,-0.0362745098,46.0152216618,-0.0362745098,48.0048939594,-0.0362745098,50.0034897076,-0.0362745098,7.9969812923
-0.0352941176,9.9982217435,-0.0352941176,11.9998044887,-0.0352941176,14.0009308133,-0.0352941176,15.9972941593,-0.0352941176,17.9945782509,-0.0352941176,20.0047402481,-0.0352941176,21.9935431275,-0.0352941176,24.0060190902,-0.0352941176,26.0056516039,-0.0352941176,27.9972990465,-0.0352941176,29.987145123,-0.0352941176,32.0057054093,-0.0352941176,34.01807743,-0.0352941176,36.0074393453,-0.0352941176,38.0416205588,-0.0352941176,40.0148007448,-0.0352941176,41.9774487108,-0.0352941176,43.9930146813,-0.0352941176,46.0154160351,-0.0352941176,48.0017647117,-0.0352941176,50.0003300990,-0.0352941176,7.9992189191
-0.0343137255,9.9975108870,-0.0343137255,12.0003114145,-0.0343137255,14.0009617876,-0.0343137255,15.9971716544,-0.0343137255,17.9949715244,-0.0343137255,20.004520395,-0.0343137255,21.9930603076,-0.0343137255,24.0065313703,-0.0343137255,26.0065750076,-0.0343137255,27.9962966246,-0.0343137255,29.9872562655,-0.0343137255,32.0055681230,-0.0343137255,34.0203366989,-0.0343137255,36.0059735175,-0.0343137255,38.0409150457,-0.0343137255,40.0183053752,-0.0343137255,41.9825537924,-0.0343137255,43.9886451313,-0.0343137255,46.0152394871,-0.0343137255,47.9999820622,-0.0343137255,49.9968726752,-0.0343137255,8.0035426143
-0.0333333333,9.9968718257,-0.0333333333,12.0006827544,-0.0333333333,14.0011578247,-0.0333333333,15.9972390126,-0.0333333333,17.9952704386,-0.0333333333,20.004659015,-0.0333333333,21.9923066705,-0.0333333333,24.0067909765,-0.0333333333,26.0069984506,-0.0333333333,27.9956702815,-0.0333333333,29.9873472719,-0.0333333333,32.0049243785,-0.0333333333,34.0217243091,-0.0333333333,36.0042758159,-0.0333333333,38.0402615223,-0.0333333333,40.0224247454,-0.0333333333,41.9872046884,-0.0333333333,43.9846295061,-0.0333333333,46.0149320636,-0.0333333333,47.9999535554,-0.0333333333,49.9934123459,-0.0333333333,8.0092951642
-0.0323529412,9.9963543967,-0.0323529412,12.0008828155,-0.0323529412,14.0014682983,-0.0323529412,15.9974187837,-0.0323529412,17.9953970425,-0.0323529412,20.0050998367,-0.0323529412,21.9912954545,-0.0323529412,24.0068257699,-0.0323529412,26.0068860103,-0.0323529412,27.9954576036,-0.0323529412,29.9872516156,-0.0323529412,32.0040607281,-0.0323529412,34.0223266682,-0.0323529412,36.0028250822,-0.0323529412,38.0397143722,-0.0323529412,40.0269836435,-0.0323529412,41.9912181231,-0.0323529412,43.9815099024,-0.0323529412,46.0147238257,-0.0323529412,48.0017845329,-0.0323529412,49.9902271349,-0.0323529412,8.0153416349
-0.0313725490,9.9959870206,-0.0313725490,12.0009134546,-0.0313725490,14.0018284448,-0.0313725490,15.9976304877,-0.0313725490,17.9953100762,-0.0313725490,20.005732858,-0.0313725490,21.990062974,-0.0313725490,24.0066993112,-0.0313725490,26.0063005915,-0.0313725490,27.9956335863,-0.0313725490,29.9868510855,-0.0313725490,32.0033285091,-0.0313725490,34.0223188624,-0.0313725490,36.002063354,-0.0313725490,38.0392528753,-0.0313725490,40.0317663339,-0.0313725490,41.9945225187,-0.0313725490,43.9796869417,-0.0313725490,46.0147994483,-0.0313725490,48.0052412615,-0.0313725490,49.9875392896,-0.0313725490,8.0202847711
-0.0303921569,9.9957732126,-0.0303921569,12.0008110814,-0.0303921569,14.0021705326,-0.0303921569,15.9978086453,-0.0303921569,17.9950109925,-0.0303921569,20.0064139883,-0.0303921569,21.9886627271,-0.0303921569,24.0064932805,-0.0303921569,26.0053985787,-0.0303921569,27.9961211760,-0.0303921569,29.9860999088,-0.0303921569,32.0030720544,-0.0303921569,34.0219361212,-0.0303921569,36.0023173456,-0.0303921569,38.0387879925,-0.0303921569,40.0365316094,-0.0303921569,41.9971509203,-0.0303921569,43.9793416679,-0.0303921569,46.0152711407,-0.0303921569,48.0097777500,-0.0303921569,49.9854967754,-0.0303921569,8.0227830253
